epoch,train_loss,train_recon_loss,train_cls_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_recon_loss,val_cls_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,189.8938013413373,188.41213217342602,0.9877785935121424,0.489828431372549,0.48902701618790473,0.4890270161879047,160.08851962619357,158.84937879774304,0.8260927240053813,0.6013888888888889,0.5639156763925962,0.5639156763925961
2,159.0221804749732,157.89985692641315,0.7482157064419167,0.6452205882352942,0.633214165313053,0.633214165313053,132.31932542588976,131.4664038764106,0.5686134854952495,0.74375,0.7326048650227879,0.7326048650227879
3,136.01446072447533,135.09365054859833,0.6138732085040971,0.722671568627451,0.7194619349498329,0.7194619349498328,117.86356692843967,117.0828599717882,0.520469770166609,0.7819444444444444,0.7841496071554794,0.7841496071554794
4,118.84755590102252,118.00426402372473,0.5621946063696169,0.7447303921568628,0.744453875614335,0.7444538756143351,104.74956631130642,104.08262820773655,0.44462555448214214,0.8118055555555556,0.8102785617793216,0.8102785617793217
5,106.95792297662473,106.17633879418467,0.5210567981589074,0.7662990196078432,0.7662726076662474,0.7662726076662474,86.43517744276258,85.6632704840766,0.5146049963103401,0.7625,0.7644503217014557,0.7644503217014554
6,98.66715458888633,97.93681625665403,0.4868921168878967,0.788235294117647,0.7881469134903751,0.7881469134903751,82.3034662882487,81.71257341172961,0.39392802980211045,0.8368055555555556,0.8355679066162938,0.8355679066162938
7,92.97560091205672,92.2976904775582,0.45194033372635933,0.8072303921568628,0.8075340807668843,0.8075340807668843,75.84219601949056,75.26361270480686,0.38572115765677556,0.8451388888888889,0.8441193268052632,0.8441193268052634
8,89.46598062702253,88.80883525025611,0.4380969283627529,0.8107843137254902,0.8115551791955088,0.8115551791955088,74.24013328552246,73.69021263122559,0.3666135311126709,0.8506944444444444,0.8527215955983909,0.852721595598391
9,86.25104956533394,85.63415809332156,0.41126056371950637,0.8220588235294117,0.8227164497172152,0.8227164497172154,71.22192374335395,70.64838680691189,0.3823569370640649,0.8305555555555556,0.8280280554592473,0.8280280554592474
10,84.0326691421808,83.46066352993834,0.38133675163867425,0.8448529411764706,0.8455547657484445,0.8455547657484445,68.05871348910861,67.51570943196614,0.3620030403137207,0.8479166666666667,0.8453207753475979,0.8453207753475978
11,82.24745543236826,81.67467353671205,0.38185498562513615,0.841421568627451,0.8419142482330938,0.8419142482330938,66.82328660753038,66.29612227545844,0.3514429443412357,0.8618055555555556,0.862687612992981,0.862687612992981
12,80.0933931313309,79.55327896417356,0.3600762404647528,0.8558823529411764,0.8560350822254646,0.8560350822254646,63.04200524224176,62.515395948621965,0.3510725643899706,0.85,0.8483291090998049,0.8483291090998049
13,78.17114377489277,77.66743315154432,0.3358072665392184,0.8658088235294118,0.8660089000948021,0.8660089000948021,64.38521313137478,63.96655743916829,0.27910293969843125,0.8875,0.889028929345626,0.8890289293456262
14,76.43060030469708,75.91972728056066,0.3405823820361904,0.8598039215686275,0.8599399446352257,0.8599399446352256,59.53836835225423,59.13075311448839,0.27174352871047125,0.8930555555555556,0.8929246424645975,0.8929246424645976
15,74.82492243448893,74.32408179114847,0.33389321589002424,0.8665441176470589,0.8668017568242311,0.8668017568242311,58.6774968041314,58.26550051371257,0.274664263592826,0.8847222222222222,0.8846161402519783,0.8846161402519783
16,73.58830629236557,73.09490920422124,0.3289312050038693,0.8644607843137255,0.864666070222655,0.8646660702226548,54.754551866319446,54.332049475775825,0.2816675848431057,0.8881944444444444,0.8877407427127846,0.8877407427127846
17,71.54951074637619,71.06734404470406,0.32144421140352886,0.8742647058823529,0.8742623847355303,0.8742623847355302,52.941857698228624,52.49659809536404,0.2968397547801336,0.8854166666666666,0.8847288891972781,0.8847288891972781
18,70.83522017235849,70.34870883717257,0.3243410279937819,0.8725490196078431,0.8728863136677515,0.8728863136677515,49.018604320949976,48.606049643622505,0.2750365912914276,0.8909722222222223,0.8916859545103563,0.8916859545103563
19,69.93659705367743,69.48614442114736,0.3003020018923516,0.8813725490196078,0.8812168727927681,0.8812168727927682,48.284061177571616,47.80683322482639,0.3181523985332913,0.8701388888888889,0.8693217948768696,0.8693217948768696
20,68.37390768761729,67.92470818687887,0.2994664570864509,0.8807598039215686,0.8807392107051305,0.8807392107051305,46.922355609469946,46.56710349188911,0.23683437638812596,0.9055555555555556,0.9055902319872504,0.9055902319872504
21,67.7630407669965,67.30613003151089,0.3046071345899619,0.878921568627451,0.8788766210901932,0.8788766210901932,46.33205138312446,45.98264215257433,0.23293917311562432,0.9111111111111111,0.9109121266510031,0.910912126651003
22,65.93290980469946,65.5019427056406,0.2873115053363875,0.8851715686274509,0.8850223373381555,0.8850223373381555,42.429465272691516,42.03838695949978,0.26071859101454414,0.8972222222222223,0.8982056049368969,0.898205604936897
23,66.37356124578737,65.93357757867551,0.29332259344119654,0.8848039215686274,0.8848690175119076,0.8848690175119076,41.5415047539605,41.12154019673665,0.27997629708713956,0.8916666666666667,0.891999873643834,0.891999873643834
24,64.09439902212105,63.66153731252633,0.2885744749331007,0.8866421568627451,0.8864887300151533,0.8864887300151534,41.411558320787215,41.04219678243001,0.24624091486136118,0.9027777777777778,0.9034568812764885,0.9034568812764885
25,64.63334497189989,64.22120344872569,0.27476097777778025,0.8911764705882353,0.8910421678403574,0.8910421678403574,37.69329948425293,37.31093432108561,0.2549100978506936,0.9027777777777778,0.9028011389278677,0.9028011389278677
